,skeleton_file,skeleton_frames,exo_file_1,exo_frames_1,exo_file_2,exo_frames_2,ego_file_2,ego_frames_2,ego_file_3,ego_frames_3
75,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_8/Trial_2/new_processed_skeletons.csv,4469,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_8/Trial_2/processed_exo_zed_1.mp4,4467,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_8/Trial_2/processed_exo_zed_2.mp4,4467,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_8/Trial_2/processed_ego_agent_2.mp4,4468,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_8/Trial_2/processed_ego_agent_3.mp4,4468
76,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_8/Trial_3/new_processed_skeletons.csv,4372,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_8/Trial_3/processed_exo_zed_1.mp4,4370,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_8/Trial_3/processed_exo_zed_2.mp4,4370,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_8/Trial_3/processed_ego_agent_2.mp4,4371,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_8/Trial_3/processed_ego_agent_3.mp4,4371
77,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_8/Trial_4/new_processed_skeletons.csv,4201,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_8/Trial_4/processed_exo_zed_1.mp4,4199,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_8/Trial_4/processed_exo_zed_2.mp4,4199,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_8/Trial_4/processed_ego_agent_2.mp4,4200,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_8/Trial_4/processed_ego_agent_3.mp4,4200
78,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_10/Trial_1/new_processed_skeletons.csv,2858,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_10/Trial_1/processed_exo_zed_1.mp4,2856,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_10/Trial_1/processed_exo_zed_2.mp4,2856,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_10/Trial_1/processed_ego_agent_2.mp4,2857,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_10/Trial_1/processed_ego_agent_3.mp4,2857
79,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_10/Trial_2/new_processed_skeletons.csv,4396,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_10/Trial_2/processed_exo_zed_1.mp4,4394,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_10/Trial_2/processed_exo_zed_2.mp4,4394,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_10/Trial_2/processed_ego_agent_2.mp4,4395,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_10/Trial_2/processed_ego_agent_3.mp4,4395
80,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_10/Trial_3/new_processed_skeletons.csv,4044,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_10/Trial_3/processed_exo_zed_1.mp4,4042,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_10/Trial_3/processed_exo_zed_2.mp4,4042,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_10/Trial_3/processed_ego_agent_2.mp4,4043,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_10/Trial_3/processed_ego_agent_3.mp4,4043
81,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_12/Trial_1/new_processed_skeletons.csv,3616,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_12/Trial_1/processed_exo_zed_1.mp4,3614,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_12/Trial_1/processed_exo_zed_2.mp4,3614,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_12/Trial_1/processed_ego_agent_2.mp4,3615,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_12/Trial_1/processed_ego_agent_3.mp4,3615
82,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_12/Trial_2/new_processed_skeletons.csv,3670,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_12/Trial_2/processed_exo_zed_1.mp4,3668,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_12/Trial_2/processed_exo_zed_2.mp4,3668,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_12/Trial_2/processed_ego_agent_2.mp4,3669,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_12/Trial_2/processed_ego_agent_3.mp4,3669
83,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_12/Trial_3/new_processed_skeletons.csv,3590,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_12/Trial_3/processed_exo_zed_1.mp4,3588,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_12/Trial_3/processed_exo_zed_2.mp4,3588,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_12/Trial_3/processed_ego_agent_2.mp4,3589,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_12/Trial_3/processed_ego_agent_3.mp4,3589
85,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_14/Trial_1/new_processed_skeletons.csv,4996,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_14/Trial_1/processed_exo_zed_1.mp4,4994,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_14/Trial_1/processed_exo_zed_2.mp4,4994,,0,,0
86,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_14/Trial_2/new_processed_skeletons.csv,4277,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_14/Trial_2/processed_exo_zed_1.mp4,4275,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_14/Trial_2/processed_exo_zed_2.mp4,4275,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_14/Trial_2/processed_ego_agent_2.mp4,4276,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_14/Trial_2/processed_ego_agent_3.mp4,4276
87,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_14/Trial_3/new_processed_skeletons.csv,4532,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_14/Trial_3/processed_exo_zed_1.mp4,4530,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_14/Trial_3/processed_exo_zed_2.mp4,4530,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_14/Trial_3/processed_ego_agent_2.mp4,4531,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_14/Trial_3/processed_ego_agent_3.mp4,4531
88,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_14/Trial_4/new_processed_skeletons.csv,4610,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_14/Trial_4/processed_exo_zed_1.mp4,4608,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_14/Trial_4/processed_exo_zed_2.mp4,4608,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_14/Trial_4/processed_ego_agent_2.mp4,4609,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_14/Trial_4/processed_ego_agent_3.mp4,4609
90,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_16/Trial_2/new_processed_skeletons.csv,3925,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_16/Trial_2/processed_exo_zed_1.mp4,3923,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_16/Trial_2/processed_exo_zed_2.mp4,3923,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_16/Trial_2/processed_ego_agent_2.mp4,3924,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_16/Trial_2/processed_ego_agent_3.mp4,3924
91,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_16/Trial_3/new_processed_skeletons.csv,4208,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_16/Trial_3/processed_exo_zed_1.mp4,4206,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_16/Trial_3/processed_exo_zed_2.mp4,4206,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_16/Trial_3/processed_ego_agent_2.mp4,4207,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_16/Trial_3/processed_ego_agent_3.mp4,4207
92,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_16/Trial_4/new_processed_skeletons.csv,4140,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_16/Trial_4/processed_exo_zed_1.mp4,4138,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_16/Trial_4/processed_exo_zed_2.mp4,4138,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_16/Trial_4/processed_ego_agent_2.mp4,4139,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_16/Trial_4/processed_ego_agent_3.mp4,4139
93,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_18/Trial_1/new_processed_skeletons.csv,6290,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_18/Trial_1/processed_exo_zed_1.mp4,2547,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_18/Trial_1/processed_exo_zed_2.mp4,2547,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_18/Trial_1/processed_ego_agent_2.mp4,6289,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_18/Trial_1/processed_ego_agent_3.mp4,6289
94,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_18/Trial_2/new_processed_skeletons.csv,4654,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_18/Trial_2/processed_exo_zed_1.mp4,4652,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_18/Trial_2/processed_exo_zed_2.mp4,4652,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_18/Trial_2/processed_ego_agent_2.mp4,4653,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_18/Trial_2/processed_ego_agent_3.mp4,4653
95,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_18/Trial_3/new_processed_skeletons.csv,2774,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_18/Trial_3/processed_exo_zed_1.mp4,2659,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_18/Trial_3/processed_exo_zed_2.mp4,2659,,0,,0
96,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_18/Trial_4/new_processed_skeletons.csv,4350,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_18/Trial_4/processed_exo_zed_1.mp4,4348,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_18/Trial_4/processed_exo_zed_2.mp4,4348,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_18/Trial_4/processed_ego_agent_2.mp4,4349,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_18/Trial_4/processed_ego_agent_3.mp4,4349
97,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_18/Trial_5/new_processed_skeletons.csv,4569,,0,,0,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_18/Trial_5/processed_ego_agent_2.mp4,4568,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_18/Trial_5/processed_ego_agent_3.mp4,4568
98,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_20/Trial_1/new_processed_skeletons.csv,4032,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_20/Trial_1/processed_exo_zed_1.mp4,4030,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_20/Trial_1/processed_exo_zed_2.mp4,4030,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_20/Trial_1/processed_ego_agent_2.mp4,4031,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_20/Trial_1/processed_ego_agent_3.mp4,4031
99,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_20/Trial_2/new_processed_skeletons.csv,4008,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_20/Trial_2/processed_exo_zed_1.mp4,4006,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_20/Trial_2/processed_exo_zed_2.mp4,4006,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_20/Trial_2/processed_ego_agent_2.mp4,4007,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_20/Trial_2/processed_ego_agent_3.mp4,4007
100,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_20/Trial_3/new_processed_skeletons.csv,4564,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_20/Trial_3/processed_exo_zed_1.mp4,4562,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_20/Trial_3/processed_exo_zed_2.mp4,4562,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_20/Trial_3/processed_ego_agent_2.mp4,4563,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_20/Trial_3/processed_ego_agent_3.mp4,4563
101,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_20/Trial_4/new_processed_skeletons.csv,4132,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_20/Trial_4/processed_exo_zed_1.mp4,4130,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_20/Trial_4/processed_exo_zed_2.mp4,4130,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_20/Trial_4/processed_ego_agent_2.mp4,4131,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_20/Trial_4/processed_ego_agent_3.mp4,4131
102,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_2/Trial_1/new_processed_skeletons.csv,4388,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_2/Trial_1/processed_exo_zed_1.mp4,4386,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_2/Trial_1/processed_exo_zed_2.mp4,4386,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_2/Trial_1/processed_ego_agent_2.mp4,4387,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_2/Trial_1/processed_ego_agent_3.mp4,4387
103,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_2/Trial_2/new_processed_skeletons.csv,4786,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_2/Trial_2/processed_exo_zed_1.mp4,4784,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_2/Trial_2/processed_exo_zed_2.mp4,4784,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_2/Trial_2/processed_ego_agent_2.mp4,4785,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_2/Trial_2/processed_ego_agent_3.mp4,4785
104,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_2/Trial_3/new_processed_skeletons.csv,4845,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_2/Trial_3/processed_exo_zed_1.mp4,4843,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_2/Trial_3/processed_exo_zed_2.mp4,4843,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_2/Trial_3/processed_ego_agent_2.mp4,4844,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_2/Trial_3/processed_ego_agent_3.mp4,4844
105,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_4/Trial_1/new_processed_skeletons.csv,2908,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_4/Trial_1/processed_exo_zed_1.mp4,2906,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_4/Trial_1/processed_exo_zed_2.mp4,2906,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_4/Trial_1/processed_ego_agent_2.mp4,2907,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_4/Trial_1/processed_ego_agent_3.mp4,2907
106,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_4/Trial_2/new_processed_skeletons.csv,4032,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_4/Trial_2/processed_exo_zed_1.mp4,4030,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_4/Trial_2/processed_exo_zed_2.mp4,4030,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_4/Trial_2/processed_ego_agent_2.mp4,4031,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_4/Trial_2/processed_ego_agent_3.mp4,4031
107,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_4/Trial_3/new_processed_skeletons.csv,115,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_4/Trial_3/processed_exo_zed_1.mp4,113,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_4/Trial_3/processed_exo_zed_2.mp4,113,,0,,0
108,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_4/Trial_4/new_processed_skeletons.csv,2699,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_4/Trial_4/processed_exo_zed_1.mp4,2697,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_4/Trial_4/processed_exo_zed_2.mp4,2697,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_4/Trial_4/processed_ego_agent_2.mp4,2698,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_4/Trial_4/processed_ego_agent_3.mp4,2698
109,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_6/Trial_1/new_processed_skeletons.csv,2817,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_6/Trial_1/processed_exo_zed_1.mp4,2815,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_6/Trial_1/processed_exo_zed_2.mp4,2815,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_6/Trial_1/processed_ego_agent_2.mp4,2816,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_6/Trial_1/processed_ego_agent_3.mp4,2816
110,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_6/Trial_2/new_processed_skeletons.csv,3170,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_6/Trial_2/processed_exo_zed_1.mp4,3168,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_6/Trial_2/processed_exo_zed_2.mp4,3168,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_6/Trial_2/processed_ego_agent_2.mp4,3169,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_6/Trial_2/processed_ego_agent_3.mp4,3169
111,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_6/Trial_3/new_processed_skeletons.csv,3696,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_6/Trial_3/processed_exo_zed_1.mp4,3694,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_6/Trial_3/processed_exo_zed_2.mp4,3694,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_6/Trial_3/processed_ego_agent_2.mp4,3695,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_6/Trial_3/processed_ego_agent_3.mp4,3695
112,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_8/Trial_1/new_processed_skeletons.csv,4877,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_8/Trial_1/processed_exo_zed_1.mp4,5085,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_8/Trial_1/processed_exo_zed_2.mp4,5085,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_8/Trial_1/processed_ego_agent_2.mp4,4876,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_8/Trial_1/processed_ego_agent_3.mp4,4876
113,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_8/Trial_2/new_processed_skeletons.csv,4369,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_8/Trial_2/processed_exo_zed_1.mp4,4367,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_8/Trial_2/processed_exo_zed_2.mp4,4367,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_8/Trial_2/processed_ego_agent_2.mp4,4368,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_8/Trial_2/processed_ego_agent_3.mp4,4368
114,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_8/Trial_3/new_processed_skeletons.csv,2117,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_8/Trial_3/processed_exo_zed_1.mp4,2115,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_8/Trial_3/processed_exo_zed_2.mp4,2115,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_8/Trial_3/processed_ego_agent_2.mp4,2116,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_8/Trial_3/processed_ego_agent_3.mp4,2116
115,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_10/Trial_1/new_processed_skeletons.csv,3989,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_10/Trial_1/processed_exo_zed_1.mp4,3987,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_10/Trial_1/processed_exo_zed_2.mp4,3987,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_10/Trial_1/processed_ego_agent_2.mp4,3988,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_10/Trial_1/processed_ego_agent_3.mp4,3988
116,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_10/Trial_2/new_processed_skeletons.csv,4198,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_10/Trial_2/processed_exo_zed_1.mp4,4196,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_10/Trial_2/processed_exo_zed_2.mp4,4196,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_10/Trial_2/processed_ego_agent_2.mp4,4197,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_10/Trial_2/processed_ego_agent_3.mp4,4197
117,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_10/Trial_3/new_processed_skeletons.csv,4039,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_10/Trial_3/processed_exo_zed_1.mp4,4037,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_10/Trial_3/processed_exo_zed_2.mp4,4037,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_10/Trial_3/processed_ego_agent_2.mp4,4038,/scratch/msy9an/data/tro_data/HRC/Variation_2/Group_10/Trial_3/processed_ego_agent_3.mp4,4038
